loc,name,productcode,detail,price,stock
https://www.jcrew.com/p/BB117,Grundens® X J.Crew graphic hoodie,BB117,"Grundens was founded in Sweden in the early 1900s by Carl Grundens, the son of a fisherman. He wanted to make gear that would help people with a passion for fishing (like his father) withstand the unforgiving forces of nature while at sea. The result was high-quality, water-repellent pieces worn by both fishermen and nonfishermen alike. We've teamed up with them to bring you this exclusive hoodie, ideal for layering under a jacket on blustery days or wearing solo when weather permits.Cotton/poly.Long sleeves.Rib trim at waist.Kangaroo pocket.Machine wash.Made in the USA.Select stores.Item BB117.",OUT OF STOCK,No
https://www.jcrew.com/p/BK252,Petite Kate straight-leg pant in four-season stretch,BK251,"A wear-to-work wonder, the Kate pant is sleek, flattering and goes-with-everything. It features a streamlined, straight-leg silhouette and Perfecting Pockets™. Plus, we crafted it in our customer-favorite four-season stretch that never loses its shape, and is guaranteed to keep you comfortable in every meeting, no matter how long.64% polyester/31% viscose/5% elastane.Zip fly.Pockets.Unlined.Machine wash.Import.Item BK252.",$118.00,Yes
https://www.jcrew.com/p/BN852,Petite Sydney wide-leg pant in four-season stretch,BN850,"Your new work pants are calling. With a wide-leg, cropped silhouette and high rise, they're perfect for in-office and out-to-drinks plans. Bonus: They're made with comfy four-season stretch fabric, so you can also rest assured knowing they feel as good as they look.64% polyester/31% viscose/5% elastane.Zip fly.Pockets.Dry clean.Import.Item BN852.",$128.00,Yes
https://www.jcrew.com/p/BP438,Petite wide-leg pant in Italian ponte,BP436,"Refresh your office-outfit rotation with this wide-leg pant style, with a slightly cropped fit and pockets for your convenience. Plus, it's crafted in Italian ponte, a luxe knit we sourced from Lanificio Mario Bellucci for its perfect mix of softness and structure.75% viscose/21% polyamide/4% elastane.Zip fly.Pockets.Machine wash.Import.Online only.Item BP438.",$178.00,Yes
https://www.jcrew.com/p/BP589,Petite demi-boot pant in Italian ponte,BP588,"Refresh your office-outfit rotation with this fit-and-flare pant style, which is as versatile as whatever your version of ""going to the office"" is these days. Plus, it's crafted in Italian ponte, a luxe knit we sourced from Lanificio Mario Bellucci for its perfect mix of softness and structure.75% viscose/21% polyamide/4% elastane.Zip fly.Pockets.Machine wash.Import.Item BP589.",$168.00,Yes
https://www.jcrew.com/p/J4369,Unisex Koio Capri Bianco canvas sneakers,J4369,"Product description provided by our selling partners.Koio original low-top sneaker in lightweight, durable canvas. A canvas sneaker might be as classic as it gets. Koio's is constructed with as few seams as possible for an easy, wear-anywhere silhouette. Made by hand in the Marche region of Italy. Outfitted with outsoles by Margom renowned for their durable, lightweight rubber. Finished with hand-painted edges.Canvas upper.Rubber sole.Made in Italy.Item J4369.",OUT OF STOCK,No
https://www.jcrew.com/p/J4393,Unisex Koio Capri Fiore sneakers,J4393,"Product description provided by our selling partners.Koio original low-top sneaker in exquisite Vitello leather and camoscio suede. Koio's new pastel palette was inspired by a trip to southern Italy, where they became enamored with the washed-out colors of the coastal houses. This dusty pink looks amazing with shades of gray. Made by hand in the Marche region of Italy. Constructed with Vitello calf leather known for its smooth feel and durability. Lined with buttery-soft calf Italian leather. Outfitted with outsoles by Margom renowned for their durable, lightweight rubber. Finished with hand-painted edges.Leather, suede upper.Leather lining.Rubber sole.Made in Italy.Item J4393.",OUT OF STOCK,No
https://www.jcrew.com/p/J4457,Unisex Koio Primo Nero sneakers,J4457,"Product description provided by our selling partners.Koio signature debut high-top in flawless pebble-grain calf leather and sleek, semi-gloss coated leather. Koio recommends wearing this all-purpose all-black high-top whenever you want, wherever you want, however you want. It's really that simple. Made by hand in the Marche region of Italy. Constructed with pebble-grain calf-leather and coated semi-gloss leather sourced straight from Italy. Lined with buttery-soft calf leather. Outfitted with durable, lightweight rubber outsoles by our friends at Margom. Finished with hand-painted edges.Leather upper and lining.Rubber sole.Made in Italy.Item J4457.",OUT OF STOCK,No
https://www.jcrew.com/p/K1812,Summersalt® classic turn down bikini bottom in black,K1812,"Product description provided by our selling partners.This stretchy, convertible bottom is crafted from Italian-made fabric and offers UPF 50+ sun protection. The contrast band can be folded down (or kept up) so you can switch up your swim style. Summersalt creates luxurious, designer-quality swimwear made to fit all women's bodies. Shop more Summersalt styles.Polyamide/Lycra® Xtra Life™.Recycled materials.Lined.Hand wash.Import.Item K1812.",OUT OF STOCK,No
https://www.jcrew.com/p/K1819,Summersalt® classic turn down bikini bottom in green,K1819,"Product description provided by our selling partners.This stretchy, convertible bottom is crafted from Italian-made fabric and offers UPF 50+ sun protection. The contrast band can be folded down (or kept up) so you can switch up your swim style. Summersalt creates luxurious, designer-quality swimwear made to fit all women's bodies. Shop more Summersalt styles.Polyamide/Lycra® Xtra Life™.Recycled materials.Lined.Hand wash.Import.Item K1819.",OUT OF STOCK,No
https://www.jcrew.com/p/K1849,Summersalt® deep dive one-piece in green,K1849,"Product description provided by our selling partners.This colorblocked one-piece features a deep V-neck and crisscross back straps for extra support. This piece is crafted from Italian-made fabric, offers superior compression and UPF 50+ sun protection. Summersalt creates luxurious, designer-quality swimwear made to fit all women's bodies. Shop more Summersalt styles.Polyamide/Lycra® Xtra Life™.Recycled materials.Hand wash.Import.Item K1849.",OUT OF STOCK,No
https://www.jcrew.com/p/K2046,Odette New York® Joined Ridge hoop earrings,K2046,"Product description provided by our selling partners.These double mini-hoops are the perfect mix of casual and dressed-up. Launched in 2006, Odette New York is a Brooklyn-based jewelry studio known for its signature sculptural pieces as well as one-of-a-kind, limited-edition collections. Former fine artist Jennifer Sarkilahti carefully carves each design by hand into wax before casting it into various metals. Shop more Odette New York styles.Brass with sterling silver posts.Made in the USA.Item K2046.",OUT OF STOCK,No
https://www.jcrew.com/p/K2055,Odette New York® Maquette earrings,K2055,"Product description provided by our selling partners.These delicate earrings are done up in a unique organic shape. Launched in 2006, Odette New York is a Brooklyn-based jewelry studio known for its signature sculptural pieces as well as one-of-a-kind, limited-edition collections. Former fine artist Jennifer Sarkilahti carefully carves each design by hand into wax before casting it into various metals. Shop more Odette New York styles.Brass with sterling silver posts.Made in the USA.Item K2055.",OUT OF STOCK,No
https://www.jcrew.com/p/K2060,Tinker™ 42mm silver-toned watch with grey strap,K2060,"Product description provided by our selling partners.Brooklyn-based Tinker Watches crafts minimalist, go-with-everything timepieces with high-quality materials. This shatterproof, hand-polished watch features cool, silver accents, high-grade Italian leather straps and a bilingual date window. Shop more Tinker styles.316L stainless steel case.Swiss Ronda movement.Italian leather strap.Nubuck lining.Sapphire crystal.Import.Item K2060.",OUT OF STOCK,No
https://www.jcrew.com/p/K2066,Tinker™ 42mm gold-toned watch with green strap,K2066,"Product description provided by our selling partners.Brooklyn-based Tinker Watches crafts minimalist, go-with-everything timepieces with high-quality materials. This shatterproof, hand-polished watch features classic gold accents, high-grade Italian leather straps and a bilingual date window. Shop more Tinker styles.316L stainless steel case.Swiss Ronda movement.Italian leather strap.Nubuck lining.Sapphire crystal.Import.Item K2066.",OUT OF STOCK,No
https://www.jcrew.com/p/K2112,Onia Sienna gingham one-piece,K2112,"Product description provided by our selling partners.This one-shoulder piece by Onia is universally flattering thanks to the slanted neckline and strategically placed colorblocking that creates the illusion of having a higher-up waist and longer legs. Made from an exclusive, extra-breathable nylon-spandex blend woven in and sourced from a century-old mill in Barcelona, it's also ultra-lightweight and moisture-wicking. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.One-shoulder neckline.Removable pads.Cutout back.Hand wash.Import.Item K2112.",OUT OF STOCK,No
https://www.jcrew.com/p/K2154,Onia Gloria ribbed solid one-piece,K2154,"Product description provided by our selling partners.Onia's adjustable one-piece features a subtly ribbed texture that lays smoothly for a flattering, sculpted fit. The sweetheart neckline is supported by internal boning to help maintain its shape. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Hand wash.Import.Item K2154.",OUT OF STOCK,No
https://www.jcrew.com/p/K2172,Onia Leila solid bikini bottom,K2172,"Product description provided by our selling partners.This moderate coverage piece by Onia is crafted from lightweight french terry that feels extra soft and resists over-absorbency when wet. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Sits on hips.Wide waistband.High-cut sides.Hand wash.Import.Item K2172.",OUT OF STOCK,No
https://www.jcrew.com/p/K2196,"Onia Alek 7"" board short",K2196,"Product description provided by our selling partners.This minimalist, Americana-inspired bottom by Onia is crafted from a stretchy-yet-crisp seersucker fabric done up in sharp lines and clean seams. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Poly/nylon/spandex.Hand wash.Import.Item K2196.",OUT OF STOCK,No
https://www.jcrew.com/p/K2214,"Onia Charles 5"" swim trunk",K2214,"Product description provided by our selling partners.These refined swim trunks by Onia are crafted from a lightweight nylon-spandex blend and feature a superfine mesh lining. The versatile, quick-dry fabric makes these an easy, transitional piece—throw on a top and go from beach to street in a flash. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Hand wash.Import.Item K2214.",OUT OF STOCK,No
https://www.jcrew.com/p/K2230,"Onia Calder 7.5"" swim trunk in red",K2230,"Product description provided by our selling partners.These just-above-the-knee boardshorts by Onia, designed to resemble classic chino shorts, are crafted from a comfy nylon-spandex blend for extra stretch and a cool, cotton-y feel. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Hand wash.Import.Item K2230.",OUT OF STOCK,No
https://www.jcrew.com/p/K2240,"Onia Charles 7"" swim trunk in blue",K2240,"Product description provided by our selling partners.These quick-dry swim trunks by Onia are crafted from a comfortable, nylon-spandex blend for extra stretch and treated with gentle, softening treatments for a subtle, broken-in texture. The custom yarn-dyed nylon offers high resistance to both salty and chlorinated waters as well as long-range exposure to the sun. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Hand wash.Import.Item K2240.",OUT OF STOCK,No
https://www.jcrew.com/p/K2868,Grant Stone® plain-toe crimson Chromexcel® derbies,K2868,"Product description provided by our selling partners.These versatile derbies in crimson are crafted from aniline calf leather and lined from toe to heel with full-grain, mineral-tanned cow leather sourced from Milwaukee, Wisconsin. In addition to the contrast toned welted edge (with a Goodyear welt, so they can be resoled), these classic lace-ups are crafted to get better with age thanks to the Chromexcel® tanning process—a time-honored, hand-rubbing technique that infuses a special, proprietary blend of natural oils and greases. Grant Stone specializes in thoughtfully crafted classics constructed from premium leather components. Shop more Grant Stone styles.Leather upper, lining and sole.Goodyear welt construction.Import.Item K2868.",OUT OF STOCK,No
https://www.jcrew.com/p/K5160,The Great Eros® Fresco bralette,K5160,"Product description provided by our selling partners.This delicate, adjustable bralette is crafted in Italy from high-quality, local cotton that's been washed for extra softness. Accented with cotton tulle, this easy, everyday piece features soft support and a plunging neckline. The Great Eros is a Brooklyn-based lifestyle shop whose effortless pieces combine old-world Italian craftsmanship with modern, innovative techniques. Shop more Great Eros styles.Cotton/modal® rayon/elastane jersey.Machine wash.Made in Italy.Item K5160.",OUT OF STOCK,No
https://www.jcrew.com/p/K5170,The Great Eros® Sonata seamless brief,K5170,"Product description provided by our selling partners.This seamless bikini bottom is crafted in Italy from a special poly blend for a minimalist, matte finish. Accented with custom-designed, geometric lace, this comfortable, stretchy piece offers moderate coverage from the back. The Great Eros is a Brooklyn-based lifestyle shop whose effortless pieces combine old-world Italian craftsmanship with modern, innovative techniques. Shop more Great Eros styles.Poly/elastane/lace.Machine wash.Made in Italy.Item K5170.",OUT OF STOCK,No
https://www.jcrew.com/p/K5187,The Great Eros® Forma bustier,K5187,"Product description provided by our selling partners.This pullover bustier is crafted in Italy from Ponte de Roma cotton and accented with a free-cut, lattice-stitch detail made from a vintage, Swiss machine. Discover an effortless, versatile piece that pairs easily with your favorite jeans. The Great Eros is a Brooklyn-based lifestyle shop whose effortless pieces combine old-world Italian craftsmanship with modern, innovative techniques. Shop more Great Eros styles.Cotton/elastane.Hand wash.Made in Italy.Item K5187.",OUT OF STOCK,No
https://www.jcrew.com/p/K5496,LEBON® le cap ferrat mood travel toothpaste,K5496,"Product description provided by our selling partners.This eco-friendly toothpaste is flavored with a fresh blend of mint extracts. The certified organic aloe vera and green tea extracts helps protect gums and prevent tooth decay. LEBON is a luxe, French toothpaste shop that creates cruelty-free, vegan-friendly toothpastes made from all natural, certified-organic ingredients. Shop more LEBON items.Active ingredients: dicalcium phosphate dihydrate, glycerin, water, lauryl glucoside, hydrated silica, aroma, sodium benzoate, stevia rebaudiana extract, green tea leaf water and aloe barbadensis leaf extract.Made in France.Item K5496.",OUT OF STOCK,No
https://www.jcrew.com/p/K5512,GROWN ALCHEMIST® intensive hand cream - persian rose and argan extract,K5512,"Product description provided by our selling partners.This rich hand cream is intensely hydrating without being overly greasy thanks to the carefully formulated blend of persian rose, tamanu oil and argan extracts. The Vitamin A and omega help revive even the driest skin. GROWN ALCHEMIST is an all-natural skin, hair and body care lab that crafts powerful, skin-regenerating formulas using only certified-organic botanicals ingredients and extracts. Shop more GROWN ALCHEMIST items.Active ingredients: aloe vera leaf extract, purified water, camellia seed oil, cetearyl olivate, sorbitan olivate, cetyl alcohol, carrot root extract, glyceryl caprylate, sweet orange peel oil expressed, sodium dehydroacetate, xanthan gum, lactic acid, ylang-ylang flower oil, peru balsam oil, tocopherol, rose fower water, patchouli leaf oil, sandalwood wood oil, tamanu seed oil, argan kernel oil, grape seed oil, sodium hyaluronate, Ppomegranate seed oil, linalool, limonene, benzyl salicylate, farnesol, benzyl benzoate, benzyl alcohol and benzyl cinnamate.Made in Australia.Item K5512.",OUT OF STOCK,No
https://www.jcrew.com/p/K5519,GROWN ALCHEMIST® lip balm- antioxidant and 3 complex,K5519,"Product description provided by our selling partners.This antioxidant-packed lip balm is formulated with watermelon seed extract to combat signs of aging and shea butter to soothe extreme dryness. Argan and rosehip extracts boost the delicate lip skin's elasticity so they stay smooth and supple. GROWN ALCHEMIST is an all-natural skin, hair and body care lab that crafts powerful, skin-regenerating formulas using only certified-organic botanicals ingredients and extracts. Shop more GROWN ALCHEMIST items.Active ingredients: castor seed oil, beeswax, watermelon seed oil, rosehip fruit oil, shea butter, vitamin E, vanillin, dimethylmethoxy chromanol, water, diaminopropionoyl tripeptide-33 and humectant.Made in Australia.Item K5519.",OUT OF STOCK,No
https://www.jcrew.com/p/K5615,GROWN ALCHEMIST® tout mon amour set,K5615,"Product description provided by our selling partners.This giftable duo includes a gentle liquid hand soap and non-greasy hand cream, both packed with active botanicals. GROWN ALCHEMIST is an all-natural skin, hair and body care lab that crafts powerful, skin-regenerating formulas using only certified-organic botanicals ingredients and extracts. Shop more GROWN ALCHEMIST items.Comes with hand wash and hand cream.Made in Australia.Item K5615.",OUT OF STOCK,No
https://www.jcrew.com/p/K5865,Fellow Barber™ Everyday Tonic,K5865,"Product description provided by our selling partners.This hydrating tonic detoxes while tightening up pores. The naturally scented formula can be applied on your face, head, neck and body post-shave—or anytime you need to degrease and a quick refresher. Born out of the popular NYC neighborhood barbershop that now has multiple locations on both coasts, Fellow Barber's full range of professional-grade grooming products are expertly crafted in the USA. Shop more Fellow Barber items.Key ingredients: witch hazel and eucalyptus.Alcohol-free, paraben-free and sulfate-free.Never tested on animals.Made in the USA.Item K5865.",OUT OF STOCK,No
https://www.jcrew.com/p/K6570,Onia Rosa orange Panama hat,K6570,"Product description provided by our selling partners.This limited-edition hat, woven from lightweight paper features an interior brow band for a comfortable fit and a summery, hand-painted illustration. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Paper.Interior brow band.Spot clean.Import.Item K6570.",OUT OF STOCK,No
https://www.jcrew.com/p/K6575,Onia Kelly banana one-piece,K6575,"Product description provided by our selling partners.Onia's update on the classic one-piece features hidden seams for a clean, smooth fit. The woven blend of nylon and spandex feels soft and dries fast. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Lined.Deep scoop back.Model is 5'9"" and wearing a size small.Machine wash.Import.Item K6575.",OUT OF STOCK,No
https://www.jcrew.com/p/K6580,Onia Estelle lemon one-piece,K6580,"Product description provided by our selling partners.This adjustable one-piece by Onia gives off subtly retro vibes thanks to the spaghetti straps and flat, tube top-inspired neckline. The quick-dry, nylon-spandex fabric dries fast and contours flatteringly while maintaining its structure. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Machine wash.Import.Item K6580.",OUT OF STOCK,No
https://www.jcrew.com/p/K6585,Onia Rochelle banana bikini bottom,K6585,"Product description provided by our selling partners.This minimalist, Americana-inspired bottom by Onia is crafted from a nylon-spandex blend that feels soft and dries fast. The low-rise, hip-framing cut creates an elongated silhouette. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Nylon/spandex.Lined.High leg openings.Model is 5'9"" and wearing a size small.Machine wash.Import.Item K6585.",OUT OF STOCK,No
https://www.jcrew.com/p/K6591,"Onia Calder 7.5"" swim trunk in yellow",K6591,"Product description provided by our selling partners.These just-above-the-knee boardshorts by Onia, designed to resemble classic chino shorts, are crafted from a comfortable, poly blend for extra stretch and treated with gentle, softening treatments for a subtle, broken-in texture. The custom yarn-dyed nylon offers high resistance to both salty and chlorinated waters as well as long-range exposure to the sun. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Poly.Custom antique nickel hardware.Zip front fly and snap closure at waistband.Internal quick-drying nylon adjustable drawstring.Two deep, reinforced, double-lined side pockets.Rear pocket with hidden snap.Rear locker loop.Model is 6'1"" and wearing a size 32.Machine wash.Import.Item K6591.",OUT OF STOCK,No
https://www.jcrew.com/p/K6596,"Onia Charles 5"" swim trunk in blue",K6596,"Product description provided by our selling partners.These refined swim trunks by Onia are crafted from a lightweight nylon-spandex blend and feature a superfine mesh lining. The versatile, quick-dry fabric makes these an easy, transitional piece—throw on a top and go from beach to street in a flash. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. Shop more Onia styles.Cotton/nylon/spandex.Elastic waistband.Quick-drying nylon adjustable drawstring.Two deep, reinforced side pockets.Rear pocket with hidden zipper.Model is 6'1"" and wearing a size medium.Machine wash.Import.Item K6596.",OUT OF STOCK,No
https://www.jcrew.com/p/K6601,Fragrance With Benefits® NoMo travel kit,K6601,"Product description provided by our selling partners.The light, citrus-floral scent of this giftable, travel-friendly set doubles as a highly-effective bug repellent thanks to a careful blend of essential oils, including peppermint, geranium and cedarwood. Layer on all three for triple the protection (and for a subtle scent that lasts all day). Created by a French perfumer who specializes in natural essential oils, Fragrance With Benefits is a fine fragrance shop that uses only top grade essential oils to craft perfumes that cleverly double as insect repellents. Shop more Fragrance With Benefits items.Comes with eau fraiche, shower gel and body crème.Made in the USA.Item K6601.",OUT OF STOCK,No
https://www.jcrew.com/p/K7018,Unisex Koio Capri lemon perforated sneakers,K7018,"Product description provided by our selling partners.In a headturning shade, these minimalist, perforated low-tops feature buttery Vitello calf leather on both the outside and the inside for a smooth, comfortable fit. The rubber Margom outsoles—known for being durable yet lightweight—are finished with hand-painted edges. Based in the Marche region of Italy, Koio is an ethically run shoe shop that crafts luxury leather sneakers—by hand, from start to finish—using only locally sourced materials. Shop more Koio styles.Leather upper.Rubber sole.Made in Italy.Item K7018.",OUT OF STOCK,No
https://www.jcrew.com/p/K7219,Quoddy® bluchers,K7219,"Product description provided by our selling partners.These classic mocassins feature lacquered eyelets, rawhide laces and a durable, Vibram® Camp sole. Based in Maine, Quoddy is a made-to-order shoemaker that crafts moccasins and boat shoes by hand, using just leather, needle and thread. Shop more Quoddy styles.Leather upper and lining.Rubber sole.Made in the USA.Item K7219.",OUT OF STOCK,No
